EO:0001022 ! gamma radiation treatment	NCIT:C44386 ! Gamma Radiation	false	label	label	gamma
EO:0001022 ! gamma radiation treatment	NCIT:C44386 ! Gamma Radiation	false	label	related	gamma
EO:0001022 ! gamma radiation treatment	XCO:0000040 ! gamma ray exposure	false	label	exact	gamma
EO:0001022 ! gamma radiation treatment	NCIT:C44386 ! Gamma Radiation	true	label	label	gammaradiat
EO:0001022 ! gamma radiation treatment	NCIT:C44386 ! Gamma Radiation	true	label	related	gammaradiat
EO:0001022 ! gamma radiation treatment	NCIT:C44386 ! Gamma Radiation	true	exact	related	gammarai
EO:0001022 ! gamma radiation treatment	ZECO:0000149 ! gamma ray	true	exact	label	gammarai
EO:0001022 ! gamma radiation treatment	SCTID_218204007 ! Overexposure to gamma rays	false	exact	label	gammarays
EO:0007001 ! UV-B light regimen	NCIT:C27987 ! Ultraviolet B Radiation	false	exact	label	bultraviolet
EO:0007001 ! UV-B light regimen	NCIT:C27987 ! Ultraviolet B Radiation	false	exact	related	bultraviolet
EO:0007001 ! UV-B light regimen	NCIT:C27987 ! Ultraviolet B Radiation	true	exact	label	bultraviolet
EO:0007001 ! UV-B light regimen	NCIT:C27987 ! Ultraviolet B Radiation	true	exact	related	bultraviolet
EO:0007001 ! UV-B light regimen	NCIT:C27987 ! Ultraviolet B Radiation	false	exact	label	ultravioletb
EO:0007001 ! UV-B light regimen	NCIT:C27987 ! Ultraviolet B Radiation	false	exact	related	ultravioletb
EO:0007001 ! UV-B light regimen	NCIT:C27987 ! Ultraviolet B Radiation	true	exact	label	ultravioletb
EO:0007001 ! UV-B light regimen	NCIT:C27987 ! Ultraviolet B Radiation	true	exact	related	ultravioletb
EO:0007001 ! UV-B light regimen	NCIT:C27987 ! Ultraviolet B Radiation	false	exact	related	uvb
EO:0007001 ! UV-B light regimen	NCIT:C27987 ! Ultraviolet B Radiation	true	exact	related	uvb
EO:0007002 ! UV-A light regimen	NCIT:C27986 ! Ultraviolet A Radiation	false	exact	label	aultraviolet
EO:0007002 ! UV-A light regimen	NCIT:C27986 ! Ultraviolet A Radiation	false	exact	related	aultraviolet
EO:0007002 ! UV-A light regimen	NCIT:C27986 ! Ultraviolet A Radiation	true	exact	label	aultraviolet
EO:0007002 ! UV-A light regimen	NCIT:C27986 ! Ultraviolet A Radiation	true	exact	related	aultraviolet
EO:0007002 ! UV-A light regimen	NCIT:C27986 ! Ultraviolet A Radiation	false	exact	label	ultravioleta
EO:0007002 ! UV-A light regimen	NCIT:C27986 ! Ultraviolet A Radiation	false	exact	related	ultravioleta
EO:0007002 ! UV-A light regimen	NCIT:C27986 ! Ultraviolet A Radiation	true	exact	label	ultravioleta
EO:0007002 ! UV-A light regimen	NCIT:C27986 ! Ultraviolet A Radiation	true	exact	related	ultravioleta
EO:0007002 ! UV-A light regimen	NCIT:C27986 ! Ultraviolet A Radiation	false	exact	related	uva
EO:0007002 ! UV-A light regimen	NCIT:C27986 ! Ultraviolet A Radiation	true	exact	related	uva
EO:0007129 ! UV-C light regimen	NCIT:C44461 ! Ultraviolet C Radiation	false	exact	label	cultraviolet
EO:0007129 ! UV-C light regimen	NCIT:C44461 ! Ultraviolet C Radiation	false	exact	related	cultraviolet
EO:0007129 ! UV-C light regimen	NCIT:C44461 ! Ultraviolet C Radiation	true	exact	label	cultraviolet
EO:0007129 ! UV-C light regimen	NCIT:C44461 ! Ultraviolet C Radiation	true	exact	related	cultraviolet
EO:0007129 ! UV-C light regimen	NCIT:C44461 ! Ultraviolet C Radiation	false	exact	label	ultravioletc
EO:0007129 ! UV-C light regimen	NCIT:C44461 ! Ultraviolet C Radiation	false	exact	related	ultravioletc
EO:0007129 ! UV-C light regimen	NCIT:C44461 ! Ultraviolet C Radiation	true	exact	label	ultravioletc
EO:0007129 ! UV-C light regimen	NCIT:C44461 ! Ultraviolet C Radiation	true	exact	related	ultravioletc
EO:0007129 ! UV-C light regimen	NCIT:C44461 ! Ultraviolet C Radiation	false	exact	related	uvc
EO:0007129 ! UV-C light regimen	NCIT:C44461 ! Ultraviolet C Radiation	true	exact	related	uvc
EO:0007151 ! radiation treatment	SCTID_218190002 ! Exposure to radiation	false	label	label	
EO:0007151 ! radiation treatment	SCTID_419201009 ! Overexposure to radiation	false	label	label	
EO:0007151 ! radiation treatment	XCO:0000038 ! radiation exposure	false	label	label	
EO:0007151 ! radiation treatment	EO:0007196 ! light regimen	false	related	label	light
EO:0007151 ! radiation treatment	EO:0007196 ! light regimen	true	related	label	light
EO:0007151 ! radiation treatment	SCTID_418921006 ! Exposure to light	false	related	label	light
EO:0007151 ! radiation treatment	EO:0007196 ! light regimen	true	related	label	light
EO:0007151 ! radiation treatment	EO:0007196 ! light regimen	true	related	label	light
EO:0007151 ! radiation treatment	SCTID_418921006 ! Exposure to light	true	related	label	light
EO:0007151 ! radiation treatment	EO:0007196 ! light regimen	false	related	label	lightregimen
EO:0007151 ! radiation treatment	EO:0007196 ! light regimen	true	related	label	lightregimen
EO:0007151 ! radiation treatment	EO:0007196 ! light regimen	true	related	label	lightregimen
EO:0007151 ! radiation treatment	EO:0007196 ! light regimen	true	related	label	lightregimen
EO:0007163 ! day light regimen	EO:0007196 ! light regimen	true	label	related	dailight
EO:0007163 ! day light regimen	EO:0007196 ! light regimen	false	label	related	daylight
EO:0007196 ! light regimen	EO:0007163 ! day light regimen	true	related	label	dailight
EO:0007196 ! light regimen	EO:0007163 ! day light regimen	false	related	label	daylight
EO:0007196 ! light regimen	EO:0007151 ! radiation treatment	false	label	related	light
EO:0007196 ! light regimen	EO:0007151 ! radiation treatment	true	label	related	light
EO:0007196 ! light regimen	SCTID_418921006 ! Exposure to light	false	label	label	light
EO:0007196 ! light regimen	EO:0007151 ! radiation treatment	true	label	related	light
EO:0007196 ! light regimen	EO:0007151 ! radiation treatment	true	label	related	light
EO:0007196 ! light regimen	SCTID_418921006 ! Exposure to light	true	label	label	light
EO:0007196 ! light regimen	EO:0007151 ! radiation treatment	false	label	related	lightregimen
EO:0007196 ! light regimen	EO:0007151 ! radiation treatment	true	label	related	lightregimen
EO:0007196 ! light regimen	EO:0007151 ! radiation treatment	true	label	related	lightregimen
EO:0007196 ! light regimen	EO:0007151 ! radiation treatment	true	label	related	lightregimen
EO:0007221 ! visible light regimen	NCIT:C17732 ! Visible Light	true	label	label	lightvisibl
EO:0007221 ! visible light regimen	NCIT:C17732 ! Visible Light	true	label	related	lightvisibl
EO:0007221 ! visible light regimen	ZECO:0000153 ! visible light	true	label	label	lightvisibl
EO:0007221 ! visible light regimen	NCIT:C17732 ! Visible Light	false	label	label	lightvisible
EO:0007221 ! visible light regimen	NCIT:C17732 ! Visible Light	false	label	related	lightvisible
EO:0007221 ! visible light regimen	ZECO:0000153 ! visible light	false	label	label	lightvisible
EO:0007221 ! visible light regimen	NCIT:C17732 ! Visible Light	false	label	label	visiblelight
EO:0007221 ! visible light regimen	NCIT:C17732 ! Visible Light	false	label	related	visiblelight
EO:0007221 ! visible light regimen	ZECO:0000153 ! visible light	false	label	label	visiblelight
EO:0007221 ! visible light regimen	NCIT:C17732 ! Visible Light	true	label	label	visibllight
EO:0007221 ! visible light regimen	NCIT:C17732 ! Visible Light	true	label	related	visibllight
EO:0007221 ! visible light regimen	ZECO:0000153 ! visible light	true	label	label	visibllight
EO:0007222 ! UV light regimen	XCO:0000042 ! ultraviolet ray exposure	false	label	label	lightultraviolet
EO:0007222 ! UV light regimen	XCO:0000042 ! ultraviolet ray exposure	true	label	label	lightultraviolet
EO:0007222 ! UV light regimen	NCIT:C17231 ! Ultraviolet Radiation	false	exact	label	ultraviolet
EO:0007222 ! UV light regimen	NCIT:C17231 ! Ultraviolet Radiation	false	exact	related	ultraviolet
EO:0007222 ! UV light regimen	XCO:0000042 ! ultraviolet ray exposure	false	exact	exact	ultraviolet
EO:0007222 ! UV light regimen	NCIT:C17231 ! Ultraviolet Radiation	true	exact	label	ultraviolet
EO:0007222 ! UV light regimen	NCIT:C17231 ! Ultraviolet Radiation	true	exact	related	ultraviolet
EO:0007222 ! UV light regimen	XCO:0000042 ! ultraviolet ray exposure	true	exact	exact	ultraviolet
EO:0007222 ! UV light regimen	XCO:0000042 ! ultraviolet ray exposure	false	label	label	ultravioletlight
