GO:0010212	NCIT:C17052	0.05	0.05	0.85	0.05
GO:0010212	SCTID:125576007	0.05	0.05	0.85	0.05
GO:0010212	XCO:0000039	0.05	0.05	0.85	0.05
GO:0010212	ZECO:0000148	0.05	0.05	0.85	0.05
GO:0010224	NCIT:C27987	0.05	0.05	0.85	0.05
GO:0010225	NCIT:C44461	0.05	0.05	0.85	0.05
GO:0010332	NCIT:C44386	0.05	0.05	0.85	0.05
GO:0010332	SCTID:76772003	0.05	0.05	0.85	0.05
GO:0010332	XCO:0000040	0.1	0.1	0.7	0.1
GO:0010332	ZECO:0000149	0.15	0.15	0.55	0.15
GO:0070141	NCIT:C27986	0.05	0.05	0.85	0.05
NCIT:C16279	SCTID:285325000	0.05	0.05	0.85	0.05
NCIT:C16318	SCTID:285336007	0.15	0.15	0.55	0.15
NCIT:C16535	SCTID:256243004	0.05	0.05	0.85	0.05
NCIT:C16736	SCTID:17871006	0.05	0.05	0.85	0.05
NCIT:C16736	XCO:0000046	0.05	0.05	0.85	0.05
NCIT:C16736	ZECO:0000155	0.05	0.05	0.85	0.05
NCIT:C17050	SCTID:30821001	0.05	0.05	0.85	0.05
NCIT:C17050	XCO:0000045	0.05	0.05	0.85	0.05
NCIT:C17050	ZECO:0000145	0.05	0.05	0.85	0.05
NCIT:C17052	SCTID:125576007	0.05	0.05	0.85	0.05
NCIT:C17052	XCO:0000039	0.05	0.05	0.85	0.05
NCIT:C17052	ZECO:0000148	0.05	0.05	0.85	0.05
NCIT:C17053	SCTID:285323007	0.05	0.05	0.85	0.05
NCIT:C17053	XCO:0000044	0.05	0.05	0.85	0.05
NCIT:C17053	ZECO:0000152	0.05	0.05	0.85	0.05
NCIT:C17054	PATO:0001740	0.1	0.1	0.7	0.1
NCIT:C17054	PATO:0001741	0.05	0.05	0.85	0.05
NCIT:C17054	SCTID:32888000	0.05	0.05	0.85	0.05
NCIT:C17231	SCTID:41355003	0.05	0.05	0.85	0.05
NCIT:C17231	XCO:0000042	0.1	0.1	0.7	0.1
NCIT:C17262	XCO:0000043	0.05	0.05	0.85	0.05
NCIT:C17262	ZECO:0000150	0.05	0.05	0.85	0.05
NCIT:C17732	PATO:0000665	0.1	0.1	0.7	0.1
NCIT:C17732	PATO:0001300	0.15	0.15	0.55	0.15
NCIT:C17732	XCO:0000283	0.05	0.05	0.85	0.05
NCIT:C17732	XCO:0000284	0.05	0.25	0.55	0.15
NCIT:C17732	ZECO:0000153	0.05	0.05	0.85	0.05
NCIT:C18070	SCTID:285324001	0.05	0.05	0.85	0.05
NCIT:C28039	SCTID:73494004	0.05	0.05	0.85	0.05
NCIT:C44386	SCTID:76772003	0.05	0.05	0.85	0.05
NCIT:C44386	XCO:0000040	0.1	0.1	0.7	0.1
NCIT:C44386	ZECO:0000149	0.15	0.15	0.55	0.15
PATO:0000665	XCO:0000283	0.1	0.1	0.7	0.1
PATO:0000665	XCO:0000284	0.05	0.25	0.55	0.15
PATO:0000665	ZECO:0000153	0.1	0.1	0.7	0.1
PATO:0001243	SCTID:285331002	0.05	0.05	0.85	0.05
PATO:0001250	SCTID:285332009	0.05	0.05	0.85	0.05
PATO:0001262	SCTID:285330001	0.05	0.05	0.85	0.05
PATO:0001300	XCO:0000283	0.15	0.15	0.55	0.15
PATO:0001300	XCO:0000284	0.05	0.25	0.55	0.15
PATO:0001300	ZECO:0000153	0.15	0.15	0.55	0.15
PATO:0001739	SCTID:82107009	0.15	0.15	0.55	0.15
PATO:0001739	XCO:0000038	0.15	0.15	0.55	0.15
PATO:0001740	SCTID:32888000	0.1	0.1	0.7	0.1
PATO:0001741	SCTID:32888000	0.05	0.05	0.85	0.05
PATO:0001744	SCTID:82107009	0.05	0.05	0.85	0.05
